gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOPX	-3.15012831491673	5.64480439798977	-20.2604825777831	3.16475952185862e-09	4.77720449824559e-05	11.8515274578719
LMO2	-2.29417440386802	4.00005033108652	-17.6123905755638	1.18223671391009e-08	6.48936691655353e-05	10.5325186203928
IGSF9	3.59439757927058	2.10712738633502	17.4496667465125	1.28970525006032e-08	6.48936691655353e-05	9.80702170861602
SEL1L3	-2.94433859804489	7.48159489700807	-15.690629639959	3.47982329844079e-08	7.93941531834357e-05	9.57028160287125
SYT6	3.01631549975474	1.82648614007075	16.2984825709024	2.44170703682877e-08	7.93941531834357e-05	9.29172645150366
LGI2	-2.42559778035746	7.14928672708448	-15.1658747330526	4.77440333982316e-08	7.93941531834357e-05	9.25607946804629
FAM84A	-1.67402766004744	6.56223650217249	-15.1015353137804	4.96664785386506e-08	7.93941531834357e-05	9.21461029394562
E2F8	1.71905757684305	3.63392924734203	15.0823617241818	5.02557272213299e-08	7.93941531834357e-05	9.17618360215412
PPP1R1C	-2.8929757693638	3.84461414241245	-14.8551492336827	5.78559579342691e-08	7.93941531834357e-05	9.0186256906367
FGF1	-2.9592490209389	2.81610584864192	-14.8965354897753	5.63823712323346e-08	7.93941531834357e-05	8.89184924644789
TCEAL2	3.15789033302306	1.81424136387823	15.0838809669373	5.02087580243669e-08	7.93941531834357e-05	8.70357603132041
CHCHD7	1.63893848326813	4.46744154609711	14.0507850134311	9.68347533344597e-08	0.000112689069564451	8.55529131614815
H3F3A	3.67534596062467	5.85053076032906	13.9580770822098	1.02934968389555e-07	0.000112689069564451	8.49159919497198
C8orf46	-2.18243585983118	5.89193290405948	-13.8311849405927	1.11979863760634e-07	0.000112689069564451	8.39878273442356
SDC2	1.39827200296399	4.65012525168348	13.7125692618519	1.21229748773064e-07	0.000114372691108088	8.32801316843432
PIPOX	-1.81417939411384	4.08023414947189	-13.3783193941807	1.52132343713115e-07	0.000135084572255851	8.10841164575392
CADM3	4.79305225029273	2.31509505682331	13.8735561737276	1.0886602268469e-07	0.000112689069564451	8.04382079692262
RP11-572C15.6	-1.84247934483375	3.47910617798935	-13.2829985936115	1.62462661795432e-07	0.000136242993322336	8.03348723857351
EPB41	1.07508390905841	5.94263060439319	13.0409985299759	1.92323107131758e-07	0.000152795647481783	7.83849623402132
CCDC80	-1.75328169200327	6.78641929927254	-12.9013408949038	2.12266026604247e-07	0.000155463239621228	7.74186820816332
SH3PXD2A	1.57237489012978	3.76933853005532	12.8418880457722	2.2143608468657e-07	0.000155463239621228	7.7368291785175
TICRR	1.22450424382447	6.16361317368614	12.7252780185483	2.40712193730386e-07	0.000155463239621228	7.60755770339139
CACNA1G	2.45743632750234	1.90963437427683	12.6907821335029	2.46762266124124e-07	0.000155463239621228	7.45889114678453
CACNA1C	3.17195964348023	2.08555698121467	12.6884586251631	2.47175737059256e-07	0.000155463239621228	7.45375187176756
FOXN4	2.4550908590222	2.57553783918617	12.2910598695692	3.30484500501415e-07	0.000189447035364714	7.2949849355573
SKA1	1.11600124367664	4.46582810344881	12.2573496851178	3.38858559446656e-07	0.000189447035364714	7.29089810401663
AK4	-1.57469120522791	6.17449421413279	-12.2880025929688	3.31234522656029e-07	0.000189447035364714	7.28310283119692
OMG	-1.52880418796106	3.56995025278831	-12.1531922896091	3.66239495074254e-07	0.000191849870685535	7.23936907232377
MAPK4	2.57835721465822	3.30794841729282	12.0743710319052	3.88574506047064e-07	0.000191849870685535	7.17851564134827
NDRG4	-1.5541553981353	8.03218114178292	-12.0815533113075	3.86478644660753e-07	0.000191849870685535	7.14183356374983
MATN2	-1.77983051595447	6.98300241341367	-12.00848827732	4.08392506414493e-07	0.000191849870685535	7.07012373165078
SNAP25	-1.29242453284046	5.29572964073812	-11.9340682456795	4.32122928341053e-07	0.000191849870685535	7.02007007379486
EXO1	1.07391382600842	5.35431096908014	11.9390954453162	4.30473122372702e-07	0.000191849870685535	7.01848177908046
MXD3	1.04888560747635	5.27439749891924	11.8251575353324	4.69623988010508e-07	0.00019739192306745	6.93048862187361
BBOX1	-2.45591008988278	2.82128282632603	-11.7473146161992	4.9861303263569e-07	0.00019739192306745	6.91460066931733
LMO1	-1.67465678895289	4.71904573017463	-11.7652511299612	4.91763397025928e-07	0.00019739192306745	6.91011736580263
E2F7	1.40931859158745	4.76226016348653	11.6988042878606	5.17668363232039e-07	0.00019739192306745	6.84923277486763
ALDOC	-2.60101214606255	4.96908658947385	-11.6408947608055	5.41468938879528e-07	0.00019739192306745	6.81732422518328
YBX3	1.85488208009564	3.09807914045078	11.5630554465872	5.75372283204227e-07	0.00019739192306745	6.7936756929598
EPHB6	3.1645594223653	2.36865254325073	11.5969000408653	5.60353121473783e-07	0.00019739192306745	6.75388157672607
C1orf54	-1.55462243277813	2.96689395790591	-11.4627688440143	6.22531125733795e-07	0.000199251933959333	6.71474165345487
MELK	0.944962930720482	6.31769886054811	11.5704062571459	5.72073068904823e-07	0.00019739192306745	6.71081251306952
WDR76	1.08153447634757	5.15279249948786	11.5052894216	6.02037490441721e-07	0.000199251933959333	6.67761671471164
TBC1D2B	1.23525012684571	4.72570342496289	11.4768160397544	6.15677383197254e-07	0.000199251933959333	6.67078909922027
HYDIN	2.1952777804335	1.51153769538604	11.58243245007	5.66720094607451e-07	0.00019739192306745	6.65270517304605
APOE	-2.18319075975507	5.06647328270494	-11.4404499840105	6.33593430278104e-07	0.000199251933959333	6.64486077082145
KIAA1211L	-2.4982978040636	2.92029559747348	-11.2063102396648	7.63582120323708e-07	0.0002124510350925	6.50847183755014
C2orf80	-2.91532534519269	3.06521206182627	-11.1893360151872	7.74084592917356e-07	0.0002124510350925	6.49493124795816
LGR5	1.87175926212987	3.48259000701389	11.1492367074623	7.99529895820247e-07	0.000215516138882261	6.46147010675117
HEPACAM	-2.08911089201708	5.16630767844047	-11.2050805853208	7.64337671858584e-07	0.0002124510350925	6.44646494648072
DUSP4	-1.87062521084797	5.78374477749021	-11.2136772885153	7.59072610899782e-07	0.0002124510350925	6.43327062255204
CORO2A	1.77293532774191	2.83115924256156	11.0404502019916	8.73299948050845e-07	0.000227283839928061	6.38222543139444
KCNIP1	-1.38093605507555	6.17138406536646	-11.0594609597126	8.59887866705941e-07	0.000227283839928061	6.29281057823326
